what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337976874213
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1337976875822
started,bundle,org.eclipse.mylyn.context.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.ui",1337976875919
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337976877980
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337976905931
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1337976909714
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1337976909718
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1337976909782
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1337976909782
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1337976911454
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337976915470
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1337976922573
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337976933590
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1337976936988
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337976940402
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337976942020
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337976943441
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337976973908
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1337976975274
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337976976999
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337976977030
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337976977030
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1337976977405
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337976979970
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337976980027
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1337976982537
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337976987890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337976990531
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1337976993557
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1337977001707
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1337977006755
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1337977011173
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337977018978
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337977024565
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337977024583
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337977028379
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337977030216
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337977031258
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337977082206
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337977085618
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337977135593
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1337977141216
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1337977141402
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1337977144992
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337977146811
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337977152941
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1337977163835
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1337977168438
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1337977171320
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1337977180999
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1337977181353
started,bundle,org.eclipse.mylyn.java.tasks,3.7.1.v20120425-0100,"org.eclipse.mylyn.java.tasks",1337977181861
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1337977183636
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1337977184878
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1337977188739
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337977189649
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337977301394
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1337977305737
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337977316344
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337977318368
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337977319664
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337977321619
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337977324279
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337977356689
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337977361691
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337977384537
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1337977388558
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1337977396011
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337977397519
